step 2110/15258 14% [main] | loss 1.853 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.32 | 1.11B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.9h
step 2120/15258 14% [main] | loss 1.733 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.51 | 1.11B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.9h
step 2130/15258 14% [main] | loss 1.896 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.08 | 1.12B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.9h
step 2140/15258 14% [main] | loss 1.812 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.27 | 1.12B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.8h
step 2150/15258 14% [main] | loss 1.887 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.05 | 1.13B tok | 82K tok/s/gpu | MFU 34% | peak 49.55GiB | ETA 5.8h
step 2160/15258 14% [main] | loss 1.593 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.96 | 1.13B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.8h
step 2170/15258 14% [main] | loss 2.039 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.68 | 1.14B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.8h
step 2180/15258 14% [main] | loss 2.255 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.20 | 1.14B tok | 82K tok/s/gpu | MFU 34% | peak 49.51GiB | ETA 5.8h
step 2190/15258 14% [main] | loss 2.014 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.16 | 1.15B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.8h
step 2200/15258 14% [main] | loss 1.858 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.98 | 1.15B tok | 79K tok/s/gpu | MFU 33% | peak 49.53GiB | ETA 6.0h
step 2210/15258 14% [main] | loss 2.163 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.08 | 1.16B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.8h
step 2220/15258 15% [main] | loss 1.781 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 2.08 | 1.16B tok | 82K tok/s/gpu | MFU 34% | peak 49.56GiB | ETA 5.8h
step 2230/15258 15% [main] | loss 2.114 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.94 | 1.17B tok | 81K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.8h
step 2240/15258 15% [main] | loss 2.089 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.46 | 1.17B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.8h
step 2250/15258 15% [main] | loss 1.668 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.07 | 1.18B tok | 82K tok/s/gpu | MFU 34% | peak 49.51GiB | ETA 5.8h
step 2260/15258 15% [main] | loss 2.104 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.31 | 1.18B tok | 79K tok/s/gpu | MFU 33% | peak 49.53GiB | ETA 6.0h
step 2270/15258 15% [main] | loss 2.011 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.67 | 1.19B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.8h
step 2280/15258 15% [main] | loss 2.350 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.09 | 1.20B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.8h
step 2290/15258 15% [main] | loss 2.383 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.04 | 1.20B tok | 82K tok/s/gpu | MFU 34% | peak 49.55GiB | ETA 5.8h
step 2300/15258 15% [main] | loss 2.154 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.63 | 1.21B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.8h
step 2310/15258 15% [main] | loss 1.936 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.97 | 1.21B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.8h
step 2320/15258 15% [main] | loss 2.250 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.24 | 1.22B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.8h
step 2330/15258 15% [main] | loss 1.915 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.09 | 1.22B tok | 82K tok/s/gpu | MFU 34% | peak 49.56GiB | ETA 5.8h
step 2340/15258 15% [main] | loss 2.092 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.64 | 1.23B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.8h
step 2350/15258 15% [main] | loss 1.933 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.09 | 1.23B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.8h
step 2360/15258 15% [main] | loss 1.745 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.18 | 1.24B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.8h
step 2370/15258 16% [main] | loss 2.045 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.13 | 1.24B tok | 81K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.8h
step 2380/15258 16% [main] | loss 1.778 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.46 | 1.25B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.7h
step 2390/15258 16% [main] | loss 2.057 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.10 | 1.25B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.7h
step 2400/15258 16% [main] | loss 2.319 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.44 | 1.26B tok | 79K tok/s/gpu | MFU 33% | peak 49.53GiB | ETA 5.9h
step 2410/15258 16% [main] | loss 2.271 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.50 | 1.26B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.7h
step 2420/15258 16% [main] | loss 1.888 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.41 | 1.27B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.7h
step 2430/15258 16% [main] | loss 1.802 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.04 | 1.27B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.7h
step 2440/15258 16% [main] | loss 1.752 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.30 | 1.28B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.7h
step 2450/15258 16% [main] | loss 1.908 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.98 | 1.28B tok | 82K tok/s/gpu | MFU 34% | peak 49.51GiB | ETA 5.7h
step 2460/15258 16% [main] | loss 2.342 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.21 | 1.29B tok | 82K tok/s/gpu | MFU 34% | peak 49.56GiB | ETA 5.7h
step 2470/15258 16% [main] | loss 2.029 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.66 | 1.29B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.7h
step 2480/15258 16% [main] | loss 1.469 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.10 | 1.30B tok | 82K tok/s/gpu | MFU 34% | peak 49.50GiB | ETA 5.7h
step 2490/15258 16% [main] | loss 1.758 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.71 | 1.31B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.7h
step 2500/15258 val 2.215
step 2500/15258 16% [main] | loss 2.189 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.08 | 1.31B tok | 54K tok/s/gpu | MFU 23% | peak 49.52GiB | ETA 8.6h
step 2510/15258 16% [main] | loss 1.728 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.27 | 1.32B tok | 82K tok/s/gpu | MFU 34% | peak 49.55GiB | ETA 5.7h
step 2520/15258 17% [main] | loss 2.161 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.23 | 1.32B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.7h
step 2530/15258 17% [main] | loss 1.738 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.46 | 1.33B tok | 82K tok/s/gpu | MFU 34% | peak 49.51GiB | ETA 5.7h
step 2540/15258 17% [main] | loss 2.058 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.08 | 1.33B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.7h
step 2550/15258 17% [main] | loss 2.103 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.27 | 1.34B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.7h
step 2560/15258 17% [main] | loss 2.214 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.99 | 1.34B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.7h
step 2570/15258 17% [main] | loss 1.802 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.25 | 1.35B tok | 82K tok/s/gpu | MFU 34% | peak 49.51GiB | ETA 5.7h
step 2580/15258 17% [main] | loss 2.044 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.19 | 1.35B tok | 82K tok/s/gpu | MFU 34% | peak 49.56GiB | ETA 5.7h
step 2590/15258 17% [main] | loss 1.767 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.34 | 1.36B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.6h
step 2600/15258 17% [main] | loss 1.794 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.45 | 1.36B tok | 79K tok/s/gpu | MFU 33% | peak 49.53GiB | ETA 5.8h
step 2610/15258 17% [main] | loss 1.888 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.70 | 1.37B tok | 82K tok/s/gpu | MFU 34% | peak 49.51GiB | ETA 5.6h
step 2620/15258 17% [main] | loss 2.105 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.13 | 1.37B tok | 82K tok/s/gpu | MFU 34% | peak 49.55GiB | ETA 5.6h
step 2630/15258 17% [main] | loss 1.754 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.70 | 1.38B tok | 82K tok/s/gpu | MFU 34% | peak 49.55GiB | ETA 5.6h
step 2640/15258 17% [main] | loss 2.000 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.52 | 1.38B tok | 82K tok/s/gpu | MFU 34% | peak 49.55GiB | ETA 5.6h
step 2650/15258 17% [main] | loss 2.034 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.66 | 1.39B tok | 82K tok/s/gpu | MFU 34% | peak 49.55GiB | ETA 5.6h
step 2660/15258 17% [main] | loss 2.010 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.50 | 1.39B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.6h
step 2670/15258 17% [main] | loss 1.584 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.30 | 1.40B tok | 79K tok/s/gpu | MFU 33% | peak 49.53GiB | ETA 5.8h
step 2680/15258 18% [main] | loss 1.883 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.44 | 1.41B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.6h
step 2690/15258 18% [main] | loss 1.689 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.51 | 1.41B tok | 82K tok/s/gpu | MFU 34% | peak 49.55GiB | ETA 5.6h
step 2700/15258 18% [main] | loss 1.753 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.20 | 1.42B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.6h
step 2710/15258 18% [main] | loss 1.918 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.41 | 1.42B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.6h
step 2720/15258 18% [main] | loss 2.222 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.46 | 1.43B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.6h
step 2730/15258 18% [main] | loss 2.245 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.41 | 1.43B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.6h
step 2740/15258 18% [main] | loss 2.359 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.23 | 1.44B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.6h
step 2750/15258 18% [main] | loss 1.995 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.16 | 1.44B tok | 80K tok/s/gpu | MFU 33% | peak 49.53GiB | ETA 5.7h
step 2760/15258 18% [main] | loss 1.897 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.62 | 1.45B tok | 82K tok/s/gpu | MFU 34% | peak 49.51GiB | ETA 5.6h
step 2770/15258 18% [main] | loss 2.159 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.21 | 1.45B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.6h
step 2780/15258 18% [main] | loss 1.764 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.70 | 1.46B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.6h
step 2790/15258 18% [main] | loss 1.568 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.08 | 1.46B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.6h
step 2800/15258 18% [main] | loss 2.111 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.16 | 1.47B tok | 79K tok/s/gpu | MFU 33% | peak 49.54GiB | ETA 5.7h
step 2810/15258 18% [main] | loss 2.054 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.32 | 1.47B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.6h
step 2820/15258 18% [main] | loss 2.129 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.55 | 1.48B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.5h
step 2830/15258 19% [main] | loss 2.098 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.51 | 1.48B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.5h
step 2840/15258 19% [main] | loss 2.071 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.52 | 1.49B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.5h
step 2850/15258 19% [main] | loss 1.972 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.45 | 1.49B tok | 82K tok/s/gpu | MFU 34% | peak 49.51GiB | ETA 5.5h
step 2860/15258 19% [main] | loss 1.808 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.51 | 1.50B tok | 82K tok/s/gpu | MFU 34% | peak 49.51GiB | ETA 5.5h
step 2870/15258 19% [main] | loss 1.410 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.00 | 1.50B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.5h
step 2880/15258 19% [main] | loss 2.024 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.19 | 1.51B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.5h
step 2890/15258 19% [main] | loss 1.712 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.23 | 1.52B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.5h
step 2900/15258 19% [main] | loss 1.980 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.31 | 1.52B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.5h
step 2910/15258 19% [main] | loss 2.098 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.12 | 1.53B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.5h
step 2920/15258 19% [main] | loss 2.080 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.55 | 1.53B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.5h
step 2930/15258 19% [main] | loss 2.250 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.06 | 1.54B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.5h
step 2940/15258 19% [main] | loss 2.254 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.52 | 1.54B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.5h
step 2950/15258 19% [main] | loss 1.753 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.30 | 1.55B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.5h
step 2960/15258 19% [main] | loss 1.752 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.23 | 1.55B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.5h
step 2970/15258 19% [main] | loss 2.043 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.04 | 1.56B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.5h
step 2980/15258 20% [main] | loss 2.083 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.59 | 1.56B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.5h
step 2990/15258 20% [main] | loss 2.191 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.41 | 1.57B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.5h
step 3000/15258 val 2.179
step 3000/15258 20% [main] | loss 2.410 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.63 | 1.57B tok | 52K tok/s/gpu | MFU 22% | peak 49.54GiB | ETA 8.5h
step 3010/15258 20% [main] | loss 1.848 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.61 | 1.58B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.4h
step 3020/15258 20% [main] | loss 1.791 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.35 | 1.58B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.5h
step 3030/15258 20% [main] | loss 1.787 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.74 | 1.59B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.4h
step 3040/15258 20% [main] | loss 1.758 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.50 | 1.59B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.4h
step 3050/15258 20% [main] | loss 1.776 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.56 | 1.60B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.4h
step 3060/15258 20% [main] | loss 1.383 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.23 | 1.60B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.4h
step 3070/15258 20% [main] | loss 1.660 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.16 | 1.61B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.4h
step 3080/15258 20% [main] | loss 2.035 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.12 | 1.61B tok | 79K tok/s/gpu | MFU 33% | peak 49.54GiB | ETA 5.6h
step 3090/15258 20% [main] | loss 2.084 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.13 | 1.62B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.4h
step 3100/15258 20% [main] | loss 1.919 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.39 | 1.63B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 5.4h
step 3110/15258 20% [main] | loss 1.874 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.34 | 1.63B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 5.4h
step 3120/15258 20% [main] | loss 2.080 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.11 | 1.64B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.4h
step 3130/15258 21% [main] | loss 2.056 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.31 | 1.64B tok | 82K tok/s/gpu | MFU 34% | peak 49.55GiB | ETA 5.4h
step 3140/15258 21% [main] | loss 2.075 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.06 | 1.65B tok | 82K tok/s/gpu | MFU 34% | peak 49.51GiB | ETA 5.4h
step 3150/15258 21% [main] | loss 2.014 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.98 | 1.65B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.4h
step 3160/15258 21% [main] | loss 1.729 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.21 | 1.66B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 5.4h
